reference_mode,variant,glyph_id,body,style_support_count,style_groups,occurrence_count,font_count,file_count,conflict,conflict_detail
variant_gid,Z,2858,ㄔㄢ,2,BIAOKAI_W5|KAICHU_MD,6,2,2,N,
variant_gid,Z,2859,ㄌㄩㄝ,1,BIAOKAI_W5,1,1,1,N,
variant_gid,Z,2862,ㄧ,1,YUAN_W3W5,1,1,1,N,
variant_gid,Z,2871,ㄏㄜ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2875,ㄧㄢ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2883,ㄆㄧㄠ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2885,ㄧ,3,HEI_W7|KAICHU_MD|YUAN_W3W5,10,3,5,N,
variant_gid,Z,2891,ㄉㄧ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,15,3,5,N,
variant_gid,Z,2892,ㄈㄨ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,7,4,3,N,
variant_gid,Z,2901,ㄊㄨㄥ,1,YUAN_W3W5,2,1,1,N,
variant_gid,Z,2903,ㄕㄠ,2,BIAOKAI_W5|KAICHU_MD,2,2,2,N,
variant_gid,Z,2906,ㄒㄧ,2,KAICHU_MD|YUAN_W3W5,5,2,2,N,
variant_gid,Z,2908,ㄗㄨ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,69,3,13,N,
variant_gid,Z,2918,ㄒㄧ,5,BIAOKAI_W5|HEI_W7|KAICHU_MD|YUAN_W3W5|YUAN_W7,45,6,11,N,
variant_gid,Z,2920,ㄌㄧㄠ,4,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5|YUAN_W7,5,4,2,N,
variant_gid,Z,2952,ㄔㄨ,2,BIAOKAI_W5|KAICHU_MD,12,2,5,N,
variant_gid,Z,2960,ㄉㄢ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2964,ㄕㄨ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2967,ㄅㄟ,2,BIAOKAI_W5|KAICHU_MD,5,2,4,N,
variant_gid,Z,2971,ㄉㄞ,2,KAICHU_MD|YUAN_W3W5,12,2,3,N,
variant_gid,Z,2973,ㄍㄨㄟ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,5,3,2,N,
variant_gid,Z,2974,ㄈㄤ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2976,ㄐㄩㄝ,1,KAICHU_MD,1,1,1,N,
variant_gid,Z,2978,ㄒㄩ,1,KAICHU_MD,5,1,5,N,
variant_gid,Z,2979,ㄕㄜ,5,BIAOKAI_W5|HEI_W7|KAICHU_MD|YUAN_W3W5|YUAN_W7,7,5,2,N,
variant_gid,Z,2985,ㄈㄢ,1,KAICHU_MD,2,1,1,N,
variant_gid,Z,2986,ㄗㄜ,3,BIAOKAI_W5|KAICHU_MD|YUAN_W3W5,11,4,5,N,
variant_gid,Z,2996,ㄖㄨㄢ,1,YUAN_W3W5,3,1,1,N,
